UNetCond params: 1.44M, chs=(32, 64, 128)
/mnt/home/tersenov/software/tilt-audit/tilt_audit/fields.py:89: UserWarning: Explicitly requested dtype complex128 requested in zeros is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  Xf = jnp.zeros((*z.shape[:-1], n * n), dtype=jnp.complex128)
/mnt/home/tersenov/software/tilt-audit/.venv/lib/python3.12/site-packages/jax/_src/numpy/array_methods.py:125: UserWarning: Explicitly requested dtype complex128 requested in astype is not available, and will be truncated to dtype complex64. To enable more dtypes, set the jax_enable_x64 configuration option or the JAX_ENABLE_X64 shell environment variable. See https://github.com/jax-ml/jax#current-gotchas for more.
  return lax_numpy.astype(self, dtype, copy=copy, device=device)
E0703 22:33:14.473265 1283984 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
step 0 loss 5.00504 (46s)
step 500 loss 0.14476 (103s)
step 1000 loss 0.07308 (160s)
step 1500 loss 0.07293 (217s)
step 2000 loss 0.06823 (274s)
step 2500 loss 0.06474 (332s)
step 3000 loss 0.10366 (389s)
step 3500 loss 0.07637 (447s)
step 4000 loss 0.05757 (505s)
step 4500 loss 0.06980 (562s)
step 5000 loss 0.05161 (620s)
step 5500 loss 0.05341 (677s)
step 6000 loss 0.07738 (734s)
step 6500 loss 0.06292 (779s)
step 7000 loss 0.07306 (822s)
step 7500 loss 0.05964 (865s)
step 8000 loss 0.07281 (908s)
step 8500 loss 0.09977 (951s)
step 9000 loss 0.07556 (994s)
step 9500 loss 0.05742 (1036s)
step 10000 loss 0.05228 (1079s)
step 10500 loss 0.05663 (1122s)
step 11000 loss 0.06209 (1164s)
step 11500 loss 0.06672 (1207s)
step 12000 loss 0.06798 (1250s)
step 12500 loss 0.05502 (1293s)
step 13000 loss 0.05757 (1335s)
step 13500 loss 0.06463 (1378s)
step 14000 loss 0.06169 (1421s)
step 14500 loss 0.07063 (1463s)
step 15000 loss 0.06579 (1506s)
step 15500 loss 0.06029 (1539s)
step 16000 loss 0.08122 (1567s)
step 16500 loss 0.05844 (1596s)
step 17000 loss 0.04823 (1624s)
step 17500 loss 0.05758 (1652s)
step 18000 loss 0.06200 (1681s)
step 18500 loss 0.05756 (1709s)
step 19000 loss 0.06608 (1737s)
step 19500 loss 0.07051 (1766s)
step 20000 loss 0.05750 (1794s)
step 20500 loss 0.06796 (1822s)
step 21000 loss 0.06645 (1851s)
step 21500 loss 0.06661 (1879s)
step 22000 loss 0.08391 (1908s)
step 22500 loss 0.07582 (1936s)
step 23000 loss 0.06681 (1964s)
step 23500 loss 0.05857 (1993s)
step 24000 loss 0.05371 (2021s)
step 24500 loss 0.06971 (2049s)
step 25000 loss 0.07872 (2078s)
step 25500 loss 0.08426 (2106s)
step 26000 loss 0.05546 (2134s)
step 26500 loss 0.07312 (2163s)
step 27000 loss 0.06766 (2191s)
step 27500 loss 0.05779 (2219s)
step 28000 loss 0.06616 (2248s)
step 28500 loss 0.07913 (2276s)
step 29000 loss 0.06319 (2305s)
step 29500 loss 0.07152 (2333s)
step 30000 loss 0.07870 (2361s)
step 30500 loss 0.06738 (2390s)
step 31000 loss 0.06092 (2418s)
step 31500 loss 0.07597 (2447s)
step 32000 loss 0.06468 (2475s)
step 32500 loss 0.06055 (2487s)
step 33000 loss 0.07011 (2500s)
step 33500 loss 0.08379 (2512s)
step 34000 loss 0.06035 (2525s)
step 34500 loss 0.06508 (2537s)
step 35000 loss 0.05332 (2550s)
step 35500 loss 0.06975 (2562s)
step 36000 loss 0.05946 (2575s)
step 36500 loss 0.06548 (2587s)
step 37000 loss 0.06553 (2600s)
step 37500 loss 0.07419 (2612s)
step 38000 loss 0.06802 (2625s)
step 38500 loss 0.05007 (2637s)
step 39000 loss 0.06312 (2650s)
step 39500 loss 0.06977 (2663s)
step 40000 loss 0.07872 (2675s)
step 40500 loss 0.06940 (2688s)
step 41000 loss 0.06796 (2700s)
step 41500 loss 0.06655 (2713s)
step 42000 loss 0.06390 (2725s)
step 42500 loss 0.05872 (2738s)
step 43000 loss 0.06136 (2750s)
step 43500 loss 0.06349 (2763s)
step 44000 loss 0.06516 (2775s)
step 44500 loss 0.08690 (2788s)
step 45000 loss 0.06907 (2800s)
step 45500 loss 0.06674 (2813s)
step 46000 loss 0.07666 (2825s)
step 46500 loss 0.05360 (2838s)
step 47000 loss 0.07587 (2851s)
step 47500 loss 0.05845 (2863s)
step 48000 loss 0.06240 (2876s)
step 48500 loss 0.06378 (2888s)
step 49000 loss 0.05089 (2901s)
step 49500 loss 0.06273 (2913s)
step 50000 loss 0.07511 (2926s)
step 50500 loss 0.06035 (2938s)
step 51000 loss 0.05002 (2951s)
step 51500 loss 0.05375 (2963s)
step 52000 loss 0.07052 (2976s)
step 52500 loss 0.06066 (2988s)
step 53000 loss 0.05687 (3001s)
step 53500 loss 0.07061 (3013s)
step 54000 loss 0.05106 (3026s)
step 54500 loss 0.06016 (3039s)
step 55000 loss 0.07791 (3051s)
step 55500 loss 0.06421 (3064s)
step 56000 loss 0.05958 (3076s)
step 56500 loss 0.05692 (3089s)
step 57000 loss 0.07735 (3101s)
step 57500 loss 0.05974 (3114s)
step 58000 loss 0.05299 (3126s)
step 58500 loss 0.07001 (3139s)
step 59000 loss 0.04677 (3151s)
step 59500 loss 0.07887 (3164s)
done in 52.9 min; final loss 0.05607; saved checkpoints/cond_default.pkl
